CHILLER,,,,,,,,,,,,,AHU SIMULATOR 1,,,,,,,AHU SIMULATOR 2,,,,,,AHU CORRIDOR,,,,,,,CRAC,,,,,FCU,,,,,,,,,,,
PARAMETER,UNIT,DESIGN,CHILLER NO,,,,,,,,,,AHU SIMULATOR 1,,,PARAMETER,UNIT,DESIGN,ACTUAL,AHU SIMULATOR 2,,PARAMETER,UNIT,DESIGN,ACTUAL,AHU CORRIDOR,,,PARAMETER,UNIT,DESIGN,ACTUAL,CRAC-GF-01,,PARAMETER,UNIT,ACTUAL,FCU - GF,,,,,,,,,,,
T,(Amp),168.5/ 76.1,,,,,,,,,,,,,,Heater Ampere S,(Amp),-,,,,Heater Ampere S,(Amp),-,,,,,Fan Voltage R-T,(V),380 - 415,,,,Status Comp - 1,,stop,Building Main Office,,19.9,20 - 24 °C,20.0,20 - 24 °C,on,ON,on,ON,,0.98
Voltage R-S,(V),380 - 415,,,,,,,,,,,,,,Heater Ampere T,(Amp),-,,,,Heater Ampere T,(Amp),-,,,,,Fan Voltage S-T,(V),380 - 415,,,,Status Comp - 2,,stop,Security Desk,,13.9,20 - 24 °C,21.0,20 - 24 °C,on,ON,off,ON,,0.98
Voltage R-T,(V),380 - 415,,,,,,,,,,,,,,Heater Voltage R-S,(V),380 - 415,,,,Heater Voltage R-S,(V),380 - 415,,,,,Damper Corr Supply,(%),100,100,,,Temp High Alarm,,normal,Instructor Manager,,24.2,20 - 24 °C,24.0,20 - 24 °C,on,ON,off,ON,,0.98
Voltage S-T,(V),380 - 415,,,,,,,,,,,,,,Heater Voltage R-T,(V),380 - 415,,,,Heater Voltage R-T,(V),380 - 415,,,,,Damper Corr Return,(%),100,100,,,RH High Alarm,,normal,Briefing Room,,21.6,20 - 24 °C,23.0,20 - 24 °C,on,ON,off,ON,,0.98
Condenser,,Clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,,,,Heater Voltage S-T,(V),380 - 415,,,,Heater Voltage S-T,(V),380 - 415,,,,,Damper Comp Supply,(%),0,0,,,Alarm Status,,normal,Local Instructor Office,,21.3,20 - 24 °C,22.0,20 - 24 °C,on,ON,off,ON,,0.98
CHILLED WATER PUMP,,,,,,,,,,,,,,,,VSD Fan Status,,Auto,auto,,,VSD Fan Status,,Auto,auto,,,,Damper Comp Supply,(%),0,0,,,Supply Fan Speed,(%),60,Simulator Operator,,19.6,20 - 24 °C,20.0,20 - 24 °C,on,ON,off,ON,,0.98
PARAMETER,UNIT,DESIGN,CHWP NO,,,,,,,,,,,,,Frequency,(Hz),50,50,,,Frequency,(Hz),50,35,,,,Fresh Air Fan Status,,ON,on,,,Return Air Temp,(°C),20.0,Simulator Technical,,23.8,20 - 24 °C,23.0,20 - 24 °C,on,ON,off,ON,,0.98
,,,2.01,2.02,1.01,1.02,1.03,1.04,,,,,,,,Fan Ampere R,(Amp),30,,,,Fan Ampere R,(Amp),30,,,,,Fresh Air Fan Frequency,(Hz),23,24,,,Return Air RH,(%),60,Trainee's Office,,24.0,20 - 24 °C,24.0,20 - 24 °C,on,ON,off,ON,,0.98
CHWP Status,,ON - Auto,on,off,off,on,0ff,off,,,,,,,,Fan Ampere S,(Amp),30,,,,Fan Ampere S,(Amp),30,,,,,Fresh Air Fan Ampere R,(Amp),-,,CRAC-2ND-01,,Status Unit,,stop,IOS S1,,21.5,20 - 24 °C,21.0,20 - 24 °C,on,ON,off,ON,,0.98
Pressure Inlet,(Bar),-,,,,,,,,,,,,,,Fan Ampere T,(Amp),30,,,,Fan Ampere T,(Amp),30,,,,,Fresh Air Fan Ampere S,(Amp),-,,,,Status Fan,,stop,IOS S2,,21.5,20 - 24 °C,21.0,20 - 24 °C,on,ON,off,ON,,0.98
Pressure Outlet,(Bar),-,,,,,,,,,,,,,,Fan Voltage R-S,(V),380 - 415,,,,Fan Voltage R-S,(V),380 - 415,,,,,Fresh Air Fan Ampere T,(Amp),-,,,,Status Comp - 1,,stop,FCU - 1ST FLOOR,,,,,,,,,,,
Δ P,(Bar),-,,,,,,,,,,,,,,Fan Voltage R-T,(V),380 - 415,,,,Fan Voltage R-T,(V),380 - 415,,,,,Fresh Air Fan Voltage R-S,(V),380 - 415,,,,Status Comp - 2,,stop,Security Supervision,,23.9,20 - 24 °C,24.0,20 - 24 °C,on,ON,off,ON,,0.98
R,(Amp),15.6,,,,,,,,,,,,,,Fan Voltage S-T,(V),380 - 415,,,,Fan Voltage S-T,(V),380 - 415,,,,,Fresh Air Fan Voltage R-T,(V),380 - 415,,,,Temp High Alarm,,normal,Cafetaria,,20.4,20 - 24 °C,20.0,20 - 24 °C,on,ON,on,ON,,0.98
S,(Amp),15.6,,,,,,,,,,,,,,Damper Status,,Auto,manual,,,Damper Status,,Auto,manual,,,,Fresh Air Fan Voltage S-T,(V),380 - 415,,,,RH High Alarm,,normal,Gan Room,,15.9,20 - 24 °C,22.0,20 - 24 °C,on,ON,off,ON,,0.98
T,(Amp),15.6,,,,,,,,,,,,,,Fresh Air Percentage,(%),20,12,,,Fresh Air Percentage,(%),20,12,GENSET,,,,,,,,,Alarm Status,,normal,Male Changing Room,,16.1,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
Voltage R-S,(V),380 - 415,,,,,,,,,,,,,,EF Damper,(%),0,,,,EF Damper,(%),0,,POWER METER GENSET,,,PARAMETER,,DESIGN,ACTUAL,,,Supply Fan Speed,(%),0,Seller IT Room,,19.7,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
Voltage R-T,(V),380 - 415,,,,,,,,,,,,,,SA 1.1,(%),100,100,,,SA 1.1,(%),100,100,,,,,,,,,,Return Air Temp,(°C),31.5,Training IT Room,,19.1,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
Voltage S-T,(V),380 - 415,,,,,,,,,,,,,,SA 1.2,(%),100,100,,,SA 1.2,(%),100,100,,,,L1 - L2,V,380 - 415,0,,,Return Air RH,(%),49,Prayer Room,,24.2,20 - 24 °C,23.0,20 - 24 °C,on,ON,off,ON,,0.98
MAIN LINE PIPE,,,,,,,,,,,,,,,,SA 1.3,(%),100,100,,,SA 1.3,(%),100,100,,,,L2 - L3,V,380 - 415,0,CRAC-2ND-02,,Status Unit,,stop,Sparepart Room,,21.1,20 - 24 °C,20.0,20 - 24 °C,on,ON,off,ON,,0.98
Temperature Inlet,(°C),7,,,,,,,,,,,,,,SA 1.4,(%),100,100,,,SA 1.4,(%),100,100,,,,L3 - L1,V,380 - 415,0,,,Status Fan,,stop,IT Administration Office,,23.1,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
Temperature Outlet,(°C),12,,,,,,,,,,,Alarm,,,,,,,,,,,,,POWER METER PLN,,,PARAMETER,UNIT,DESIGN,ACTUAL,,,Status Comp - 1,,stop,IT Network Supervision,,24.5,20 - 24 °C,20.0,20 - 24 °C,on,ON,on,ON,,0.98
Water Flow,(L/s),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status Comp - 2,,stop,PPT Room,,19.3,20 - 24 °C,20.0,20 - 24 °C,on,ON,off,ON,,0.98
Motorized Valve,(%),-,,,,,,,,,,,,,,,,,,,,,,,,,,,L1 - L2,V,380 - 415,394.0,,,Temp High Alarm,,normal,Tutorial Classroom,,22.5,20 - 24 °C,23.0,20 - 24 °C,on,ON,off,ON,,0.98
Alarm,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,L2 - L3,V,380 - 415,387.7,,,RH High Alarm,,normal,Tutorial Classroom 2,,21.0,20 - 24 °C,22.0,20 - 24 °C,on,ON,on,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 - L1,V,380 - 415,389.8,,,Alarm Status,,normal,Trainer Office Room 2,,19.9,20 - 24 °C,21.0,20 - 24 °C,on,ON,on,ON,,0.98
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,,,,,,,,,Supply Fan Speed,(%),0,Media Classroom,,21.8,20 - 24 °C,23.0,20 - 24 °C,on,ON,on,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,,,,,,,,,Return Air Temp,(°C),31.6,Tutorial Classroom 3,,23.2,20 - 24 °C,22.5,20 - 24 °C,on,ON,off,ON,,0.98
,,,PT Daikin Applied Solution Indonesia,,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,PT Daikin Applied Solution Indonesia,,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,,,,,,,Return Air RH,(%),44,Meeting Room,,21.9,20 - 24 °C,22.0,20 - 24 °C,on,ON,off,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT Daikin Applied Solution Indonesia,,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,Coaching Room,,17.4,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secretariat Office,,20.7,20 - 24 °C,21.0,20 - 24 °C,on,ON,on,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Manager Office,,24.7,20 - 24 °C,24.0,20 - 24 °C,on,ON,off,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Manager,,25.3,20 - 24 °C,25.0,20 - 24 °C,on,ON,off,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Practical Academic 2,,19.6,20 - 24 °C,21.0,20 - 24 °C,on,ON,on,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Practical Academic 1,,21.5,20 - 24 °C,16.0,ON,on,ON,0n,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plamfication Room,,17.6,20 - 24 °C,20.0,ON,on,ON,off,ON,,0.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT Daikin Applied Solution Indonesia,,,,,Lanud Roesmin Nurjadin (Rafale Simulator,,,,
