. ,,,,,,,,,,,,,,,,
FCU,,,,,,,,,,,,,,,,
Periode :,Maret - April,,,,,,,,,,,,,,,
List Service Unit HVAC,,,,,,,,,,,,,,,,
No.,Tanggal,Floor,Tenant / Area,Brand,Model,Jenis Unit,Cetegory Finding,Finding,Rekomendasi,Dokumentasi,,,,,,
1,02 Maret 2026,L4,OFFICE JAYA KENCANA,MC QUAY,MCC50,FCU,"U Trap
Watermur
Filter","U trap tidak ada, water mur tidak ada, filter tidak ada",,,,,,,,
48,07 Maret 2026,L2,ALO 001,YORK,SBH 30 DW,FCU,,Water mur tidak ada,,,,,,,,
49,,L2,ALO 002,MC QUAY,MCC 60,FCU,,Water mur tidak ada,,,,,,,,
50,,L2,ALO 003,YORK,MAC 60 DW,FCU,,Water mur tidak ada,,,,,,,,
51,,L2,ALO 004,YORK,MAC 50 DW,FCU,,"Air venting tidak ada, water mur tidak ada",,,,,,,,
52,,L2,ALO 005,MC QUAY,MCC 40,FCU,,"Air venting tidak ada, water mur tidak ada",,,,,,,,
53,,L2,ALO 006,MC QUAY,MCC60,FCU,,"Water mur tidak ada, filter udara tidak ada, buka bak drain terhalang holo dan evap bagian bawah sedikit rebah",,,,,,,,
54,,L2,ALO 007,MC QUAY,MCC40,FCU,,Bak drain keropos,"Pergantian bak drain yang keropos, untuk saat ini valve sudah tertutup",,,,,,,
55,,L2,ALO 009,YORK,MAC 60 DW,FCU,,Water mur tidak ada,Pengadaan frame filter udara dan water mur,,,,,,,
56,,L2,IVAN GUNAWAN 001,TRANE ,HCCA18,FCU,,"Filter udara tidak ada, water mur tidak ada, U-trap tidak ada",,,,,,,,
57,,L2,IVAN GUNAWAN 002,MC QUAY,MCC60,FCU,,Water mur tidak ada ,pengadaan frame filter udara dan water mur,,,,,,,
58,,L2,IVAN GUNAWAN 003,MC QUAY,MCC60,FCU,,"Filter udara tidak ada, water mur tidak ada",,,,,,,,
59,08 Maret 2026,L2,NARS 001,MC QUAY,MCC60,FCU,,Water mur tidak ada,,,,,,,,
60,,L2,NARS 002,MC QUAY,MCC40,FCU,,Water mur tidak ada,,,,,,,,
61,,L3,SOUP RESTAURANT 001,MC QUAY,MCC60,FCU,,Water mur tidak ada,,,,,,,,
62,,L3,SOUP RESTAURANT 002,MC QUAY,MCC60,FCU,,Water mur tidak ada,,,,,,,,
63,,L3,SOUP RESTAURANT 003,YORK ,SBH 100 DW,FCU,,"Water mur tidak ada, filter udara tidak ada",,,,,,,,
64,,L3,SOUP RESTAURANT 004,MC QUAY,MDB50,FCU,,"Water mur tidak ada, filter udara tidak ada, U-trap tidak ada",,,,,,,,
65,,L2,ALO 008,YORK,SBH 60 DW,FCU,,Water mur tidak ada,Pengadaan frame filter dan water mur,,,,,,,
66,,L2,LE LABO 001,MC QUAY,MCC60,FCU,,Water mur tidak ada,,,,,,,,
67,,L2,LE LABO 002,MC QUAY,MCC60,FCU,,Water mur tidak ada,Pengadaan filter,,,,,,,
68,,L2,RADO L2,MC QUAY,MCW1200C,FCU,,"Water mur tidak ada, filter ngeblok",Pergantian filter udara dan pengadaan water mur,,,,,,,
69,,L2,CORD JEMBATAN 001,MC QUAY,MCC60,FCU,,"Water mur tidak ada, u-traptidak ada, filter udara tidak ada",,,,,,,,
70,,L2,CORD JEMBATAN 002,MC QUAY,MCC60,FCU,Isolasi CHWP,"Isolasi pipa sudah jenuh, water mur tidak ada, filter udara tidak ada","Pergantian filter udara, dan pengadaan water mur",,,,,,,
71,09 Maret 2026,L2,CORD LIFT 1 - 2,ITU,1200,FCU,,"U-traptidak ada, water mur tidak ada, evaporator rebah",,,,,,,,
72,,L2,TOILET SW ,TRANE,HCCA14,FCU,,"U-trap tidak ada, water mur tidak ada, line drain tidak ada, filterudara tidak ada, akses sempit",,,,,,,,
73,,L2,KATE SPADE 001,TRANE,HCCA10,FCU,,"Water mur tidak ada, filter udara tidak ada, Evaporator sedikit rebah",,,,,,,,
74,,L2,KATE SPADE 002,TRANE,HCCA10,FCU,,"water mur tidak ada, filter udara tidak ada, Evaporator sedikit rebah",,,,,,,,
75,,L2,KATE SPADE 003,TRANE,HCCA10,FCU,,"Water mur tidak ada, evaporator rebah",,,,,,,,
76,,L2,ADIDAS 001,TRANE,HCCA18,FCU,,"Bak drain korosif, water mur tidak ada,",Pengadaan frame filter udara,,,,,,,
77,,L2,ADIDAS 002,YORK,MAC 60 DW,FCU,,Water mur tidak ada,Pengadaan frame filter udara,,,,,,,
78,,L2,ADIDAS 003,TRANE ,HCCA14,FCU,,Water mur tidak ada,,,,,,,,
79,,L2,ADIDAS 004,DAIKIN,DDB7BW,FCU,,"Water mur tidak ada, air venting tidak ada",,,,,,,,
80,,L2,NEW BALANCE 001,TRANE,HCCA8,FCU,,Water mur tidak ada,,,,,,,,
81,,L2,NEW BALANCE 002,TRANE,HCCA24,FCU,,Water murtidak ada,,,,,,,,
82,,L2,LAURA MERCIER,MC QUAY,MCC50,FCU,,"Water mur tidak ada, bak drain keropos, evaporator bagian bawah keropos","Penggantian bak drain yang bolong atau keropos, segera difollow up",,,,,,,
83,,L5,WOLF GENG 001,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
84,,L5,WOLF GENG 002,TRANE,HCCA24,FCU,,"Water mur tidak ada, body unit korosif",,,,,,,,
85,10 Maret 2026,L3,THE DESIGNER WORKSHOP 001,TRANE,HCCA18,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
86,,L3,THE DESIGNER WORKSHOP 002,DAIKIN,60BW,FCU,,Water mur tidak ada,,,,,,,,
87,,L3,THE DESIGNER WORKSHOP 003,MC QUAY,MCC50,FCU,,Water mur tidak ada,,,,,,,,
88,,L3,THE DESIGNER WORKSHOP 004,MC QUAY,MCC60,FCU,,,Pengadaan filter udara,,,,,,,
89,,L2,BALLY 001,DAIKIN,50BW,FCU,,,,,,,,,,
90,,L2,BALLY 002,YORK,MAC100,FCU,,"Unit AC FCU model: YORK MAC 100 kondisi evap kering, valve ditutup karena unit AC bocor untuk saat ini valve ditutup",Pengadaan filter udara,,,,,,,
