. ,,,,,,,,,,,,,,,,
FCU,,,,,,,,,,,,,,,,
Periode :,Maret - April,,,,,,,,,,,,,,,
List Service Unit HVAC,,,,,,,,,,,,,,,,
No.,Tanggal,Floor,Tenant / Area,Brand,Model,Jenis Unit,Cetegory Finding,Finding,Rekomendasi,Dokumentasi,,,,,,
1,02 Maret 2026,L4,OFFICE JAYA KENCANA,MC QUAY,MCC50,FCU,"U Trap
Watermur
Filter","U trap tidak ada, water mur tidak ada, filter tidak ada",,,,,,,,
215,,P2,LOBBY LIFT CP 002,YORK,SBH 100 DW,FCU,,"Water mur tidak ada, evaporator noda membandel",,,,,,,,
216,20 Maret 2026,L3,HARLAN & HOLDEN 001,DAIKIN,DDB 60 BW,FCU,,Sudah ada keretakan sebelum naik,,,,,,,,
217,,L3,HARLAN & HOLDEN 002,DAIKIN,DDB 50 BW,FCU,,,,,,,,,,
218,,L3,HARLAN & HOLDEN 003,,,FCU,,,,,,,,,,
219,,L3,HARLAN & HOLDEN 004,,,FCU,,,,,,,,,,
220,,L3,DORE ,,,FCU,,,,,,,,,,
221,,L3,ADELLE,TRANE,HCCA24,FCU,,,,,,,,,,
222,23 Maret 2026,L3,BANK MANDIRI 001,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada",,,,,,,,
223,,L3,BANK MANDIRI 002,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada ",,,,,,,,
224,,L3,BANK MANDIRI 003,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada ",,,,,,,,
225,,L3,VERDE 001,DAIKIN,DDB 60 BW,FCU,,Water mur tidak ada,,,,,,,,
226,,L3,VERDE 001,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
227,,L3,VERDE 001,DAIKIN,DDB 60 BW,FCU,,Water mur tidak ada,,,,,,,,
228,,L3,PASSION PRIVE 001,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
229,,L3,PASSION PRIVE 002,DAIKIN,DDB 50 BW,FCU,,Water mur tidak ada ,,,,,,,,
230,,L3,WACOAL ,MC QUAY,MCC40,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
231,,L3,WOMEN & CO ,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
232,,L3,YANTI ,TRANE,HCCA18,FCU,,"U-trap tidak ada, air venting tidak ada, water mur tidak ada",,,,,,,,
233,,L3,MUSHOLLA WANITA ,DAIKIN,DDB 50 BW,FCU,,Water mur tidak ada,,,,,,,,
234,,L3,MUSHOLLA PRIA ,,,FCU,,,,,,,,,,
235,,P2,KANTINA 001,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada, Air venting tidak ada.",,,,,,,,
236,,P2,KANTINA 002,MC QUAY,MCC 60,FCU,,"Water mur tidak ada, Filter udara tidak ada, Air venting tidak ada, U-trap tidak ada",,,,,,,,
237,,P2,KANTINA 003,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada, Air venting tidak ada, U-trap tidak ada",,,,,,,,
238,24 Maret 2026,L3,JOE  & DOUGH 001,SBH,100DW,FCU,,"Unit tidak elevasi, Frame filter tidak bisa dibuka karena terhalang pipa splingker",,,,,,,,
239,,L3,JOE  & DOUGH 002,SBH,100 DW,FCU,,"Water mur tidak ada, U-trap tidak ada",,,,,,,,
240,,L3,JOE  & DOUGH 003,,,FCU,,,,,,,,,,
241,,L3,CORD JOE & DOUGH 001,MC QUAY,MCC 60,FCU,,"Filter udara tidak ada, Water mur tidak ada, Isolasi pipa chiller sudah rusak",,,,,,,,
242,,L3,CORD JOE & DOUGH 002,MC QUAY,MCC 60,FCU,,"Filter udara tidak ada, Water mur tidak ada ",,,,,,,,
243,,L3,MASHIRO & CO 001,MC QUAY,MCC50,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
244,,L3,MASHIRO & CO 002,MC QUAY,MCC50,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
245,,L3,MULIA,MC QUAY,MCC50,FCU,,"Sebelum naik mainhol sudah ada keretakan, Filter udara tidak ada, Water mur tidak ada",,,,,,,,
246,,L3,IWAN TIRTA 001,TRANE,HCCA14,FCU,,"Unit trauble, kondisi MCB sebelumnya sudah trip. Dicoba dinaikkan ada ledakan di motornya. Kondisi unit saat ini tidak running",,,,,,,,
247,,L3,IWAN TIRTA 002,TRANE,HCCA10,FCU,,,,,,,,,,
248,,L3,IWAN TIRTA 003,MC QUAY,MCC 60,FCU,,,,,,,,,,
249,,L3,DORE,,,FCU,,"Tidak ada name plate, Filtter udara tidak ada",,,,,,,,
250,,L3,STEFANO RICHI ,TRANE,HCCA24,FCU,,"Kondisi evap dan valve kering, valve tidak tersupply air chiller ",,,,,,,,
251,,L4,HOUSE OF ULTIMA 001,YORK ,SBH 30 DW,FCU,,,,,,,,,,
252,,L4,HOUSE OF ULTIMA 002,TRANE,HCCA 24,FCU,,"U-trap tidak ada, Filter udara tidak ada",,,,,,,,
253,,L4,DE SALON 001,YORK ,SBH 40 DW,FCU,,Water mur tidak ada,,,,,,,,
254,,L4,DE SALON 002,DAIKIN,DDB 60 BW,FCU,,Water mur tidak ada,,,,,,,,
255,25 Maret 2026,L3,YAMAHA SMILE MUSIC 001,AICOOL,FC24,FCU,,"Insuflek sudah ada yang jenuh, Water mur tidak ada, Airventing tidak ada.",,,,,,,,
256,,L3,YAMAHA SMILE MUSIC 002,AICOOL,FC18,FCU,,"Water mur: Tidak ada, Airventing : tidak ada. Sebelumnya unit sudah ada air yang menggenang di atas ducting. Bocor dikarenakan bak drain terlalu rapat dan tersumbat lendir, ada bagian insuflek sudah jenuh.",,,,,,,,
257,,L3,YAMAHA SMILE MUSIC 003,TRANE,HCCA14,FCU,,"Unit AC FCU tidak ada ducting supply dan tidak ada ducting return, kondisi unit running.",,,,,,,,
258,,L3,YAMAHA SMILE MUSIC 004,TRANE,HCCA10,FCU,,"Water mur: tidak ada, air venting tidak ada. Bak drain dekat nozzle sudah bolong/keropos.",Segera dilakukan pergantian bak drain model: TRANE HCCA10,,,,,,,
259,,L3,YAMAHA SMILE MUSIC 005,TRANE,HCCA24,FCU,,"Water mur: tidak ada, Airventing: Tidak ada",,,,,,,,
260,,L3,YAMAHA SMILE MUSIC 006,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
261,,L3,YAMAHA SMILE MUSIC 007,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
262,,L3,YAMAHA SMILE MUSIC 008,TRANE,HCCA24,FCU,,"Water mur tidak ada, Filter udara tidak ada.",,,,,,,,
263,,L3,YAMAHA SMILE MUSIC 009,,,FCU,,Tidak ada name plate,,,,,,,,
264,,L3,SEBASTIAN RED 001,TRANE,HCCA10,FCU,,"Water mur tidak ada, Filter udara tidak ada.",,,,,,,,
265,,L3,SEBASTIAN RED 002,TRANE,HCCA18,FCU,,Filter udara tidak ada,,,,,,,,
266,,L3,REKHAS 001,TRANE,HCCA18,FCU,,"Filter udara tidak ada, Water mur tidak ada, U-trap tidak ada",,,,,,,,
267,,L3,REKHAS 002,TRANE,HCCA14,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
268,,L4,EVERLASH,TRANE,HCCA24,FCU,,,,,,,,,,
269,,L4,BMF KLINIK 001,TRANE,HCCA18,FCU,,,,,,,,,,
270,,L4,BMF KLINIK 002,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
271,26 Maret 2026,L3,OSIM NO.1,MC QUAY,MCC 60,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
272,,L3,OSIM NO.2,MC QUAY,MCC 60,FCU,,"Unit AC tidak running, indikasi motor terbakar",Penggantian motor model: MC QUAY MCC 60,,,,,,,
273,,L3,OSIM NO.3,MC QUAY,MCC 60,FCU,,"Akses terlalu sempit, Water mur tidak ada",,,,,,,,
274,,L3,FRANK & CO NO.1,DAIKIN,DDB 60 BW,FCU,,Water mur tidak ada,,,,,,,,
275,,L3,FRANK & CO NO.2 ,DAIKIN,DDB 50 BW,FCU,,Water mur tidak ada,,,,,,,,
276,,L3,ATHAM,TRANE,HCCA18,FCU,,Water mur tidak ada,,,,,,,,
277,,L3,BOSS KIDS,TRANE,HCCA18,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
278,,L3,ROYAL SELANGOR,YORK,MAC 60 DW,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
279,,L3,TO RENDA NO.1,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada",,,,,,,,
280,,L3,TO RENDA NO.2,DAIKIN,DDB 50,FCU,,Water mur tidak ada,,,,,,,,
281,,L3,CORD LIFT 1-2,ITU,1400,FCU,,"Water mur tidak ada, U-trap tidak ada, Kondisi evap rebah",,,,,,,,
282,,L3,MUSHOLLA PRIA ,DAIKIN,SB 60 BW,FCU,,"Water mur tidak ada,Filter udara tidak ada",,,,,,,,
283,,L4,TOILET SW,TRANE,HCCA 24,FCU,,,,,,,,,,
284,,L4,NOBU NO.1,SBH,60DW,FCU,,,,,,,,,,
285,,L4,NOBU NO.2,SBH,75 DW,FCU,,Water mur tidak ada,,,,,,,,
286,,L3,BAM SENJU NO.1,DAIKIN,DDB 50 BW,FCU,,,,,,,,,,
287,,L3,BAM SENJU NO.2,YORK SBH,60DW,FCU,,,,,,,,,,
288,,L3,BAM SENJU NO.3,,,FCU,,Tidak dilakukan PM karena akses terlalu sempit,,,,,,,,
289,,L3,BAM SENJU NO.4,TRANE,HCCA24,FCU,,,,,,,,,,
290,27 Maret 2026,L3,KENZO PARIS KIDS,TRANE,HCCA18,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
291,,L3,C - ZAREE,TRANE,HCCA218,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
292,,L4,LAVALEN BODY NO.1,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
293,,L4,LAVALEN BODY NO.2,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
294,,L4,LAVALEN BEAUTY NO.1,TRANE,HCCA24,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
295,,L4,LAVALEN BEAUTY NO.2,TRANE,HCCA24,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
296,,L4,BATIK KERIS NO.1,MDB 75,,FCU,,"Body unit keropos/bolong, untuk sementara body unit yang keropos sudah dibaluti metalizing. Water mur tidak ada, frame filter udara tidak ada.",Pengadaan bak temporary dan frame filter udara,,,,,,,
297,,L4,BATIK KERIS NO.2,MC QUAY,MCC60,FCU,,"Evap sebagian ada yang rebah, evap bagian bawah sudah keropos, body unit dekat pipa nozzle keropos, tidak ada filter udara, Water mur tidak ada.",Penyisiran evap yang rebah/ perbaikan body unit yang keropos dan pengadaan filter udara,,,,,,,
298,,L4,BATIK KERIS NO.3,MCC 30C,,FCU,,Water mur tidak ada,,,,,,,,
299,,L4,PETER F SAERANG,TRANE,HCCA24,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
300,,L4,BODIES,YORK,SBH 30DW,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
301,,L4,KAM ROAST NO.1,DAIKIN,SDB 125 DW,FCU,,,,,,,,,,
302,,L4,KAM ROAST NO.2,TRANE,HCCA24,FCU,,,,,,,,,,
303,,L4,CORD KAM ROAST NO.1,,,FCU,,Unit tidak running,,,,,,,,
304,,L4,CORD KAM ROAST NO.2,,,FCU,,Unit tidak running,,,,,,,,
305,,P4,LOBBY LIFT CP,DAIKIN,DDB75 BW,FCU,,"Water mur tidak ada, Filter udara tidak terpasang full karena filternya habis.",,,,,,,,
306,,P2,ESCALATOR TIMUR NO.1,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
307,,P2,ESCALATOR TIMUR NO.2,MC QUAY,MCC50,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
308,,P2,ESCALATOR GOLD NAIL,MC QUAY,MCC50,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
309,,P2,MASJID BAITURRAHMAN,TRANE,HCCA18,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
310,28 Maret 2026,L3,D' ORSAY,DAIKIN,DDB 50 BW,FCU,,Water mur tidak ada,,,,,,,,
311,,L3,HAVANA,DAIKIN,DDB 50 BW,FCU,,Water mur tidak ada,,,,,,,,
312,,L3,ELCHEMITZ,TRANE,HCCA18,FCU,,Water mur tidak ada,,,,,,,,
313,,L3,EICHOTZ NO.1,TRANE,HCCA18,FCU,,"Speed low tidak berfungsi, body unit keropos, cover bawah sudah tidak rapat.",,,,,,,,
314,,L3,EICHOTZ NO.2,TRANE,HCCA 18,FCU,,,,,,,,,,
315,,L3,EICHOTZ NO.3,TRANE,HCCA18,FCU,,,,,,,,,,
316,,L3,BENIHANA NO.1,YORK,SBH 100DW,FCU,,Tidak dapat pengambilan name plate karena akses terlalu sempit,,,,,,,,
317,,L3,BENIHANA NO.2,YORK,SBH 60DW,FCU,,,,,,,,,,
318,,L3,BENIHANA NO.3,DAIKIN,DDB 100 BW,FCU,,Pipa stainer tidak dibalut armaflex,,,,,,,,
319,,L3,BENIHANA NO.4,YORK,SBH 100DW,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
320,,L3,BENIHANA NO.5,YORK ,SBH 100DW,FCU,,"U-Trap tidak ada, pipa chiller tidak dibalut pakai armaflex",,,,,,,,
321,,L3,BIN HOUSE NO.1,TRANE,HCCA18,FCU,,"U-Trap tidak ada, Water mur tidak ada,termostat tidak berfungsi dan untuk menyalakan AC langsung drai MCB, Akses service terlalu sempit, dan area dekat unit tidak ada catwalk","Pengagntia termostat model: HONEYWELL, pengadaan catwalk",,,,,,,
322,,L3,BIN HOUSE NO.2,TRANE,HCCA18,FCU,,"Bak drain korosif, U-trap tidak ada, Water mur tidak ada, akses terlalu sempit dan tidak ada catwalk, hanya dilakukan pemvacumman pada line drain dan bak drain.","Penambahan manhole disamping unit AC, pengadaan catwalk",,,,,,,
323,,L3,BIN HOUSE NO.3,TRANE,HCCA18,FCU,,"Bak drain korosif, Water mur tidak ada, termostat tidak berfungsi, akses service terlalu sempit dan tidak ada catwalk.","Pengadaan akses service di ducting supply agar service boisas maksimal, pengadaan catwalk.",,,,,,,
324,,L3,WANDA,SBH,50 DW,FCU,,Water mur tidak ada,,,,,,,,
325,,L4,HAIRTITUDE,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
326,,P2,MASJID BAITURRAHMAN NO.5,DAIKIN,FWW18,FCU,,Water mur tidak ada,,,,,,,,
327,,P2,MASJID BAITURRAHMAN NO.6,DAIKIN,FWW18,FCU,,Water mur tidak ada,,,,,,,,
328,,P2,MASJID BAITURRAHMAN NO.7,YORK,YCW 1400,FCU,,Water mur tidak ada,,,,,,,,
329,,P2,MASJID BAITURRAHMAN NO.8,YORK,YCW 1400,FCU,,Water mur tidak ada,,,,,,,,
330,,P2,MASJID BAITURRAHMAN NO.9,YORK,YCW 1400,FCU,,Water mur tidak ada,,,,,,,,
331,29 Maret 2026,L3,PRESTIQUE ,TRANE,HCCA 18,FCU,,"Filter udara tidak ada, Water mur tidak ada, Isolasi pipa sudah jenuh",,,,,,,,
332,,L3,REGAL,MC QUAY,MCC 60,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
333,,L4,LUVAZE,DDB,60 BW,FCU,,"Sudah ada kebocoran sebelum PM, tetesan disebabkan drai posisi unit yang sedikit miring",,,,,,,,
334,,L4,OEMAH ETNIK,DAIKIN,DDB 60 BW,FCU,,Water mur tidak ada,,,,,,,,
335,,L4,VIVAIA,YORK,SBH 125 DW,FCU,,"U-trap tidak ada, Water mur tidak ada, Airventing tidak ada, sebelum dilakukan service putaran fan blower kurang kencang disebabkan dari v-belt. V-belt sudah dikencangkan kembali.","Pengadaan frame filter udara, pengadaamn u-trap, pengadaan water mur.",,,,,,,
336,,L4,JOSHEPHINE ANNI,SBH,125 DW,FCU,,,,,,,,,,
337,,L4,ARRAY OF DAY,MC QUAY,MDB 75,FCU,,Water mur tidak ada,,,,,,,,
338,,L4,LAPIS LAPIS,TRANE,HCCA 24,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
339,,L4,J. BIOLETTI NO.1 ,TRANE,HCCA24,FCU,,U-trap tidak ada,"Pengadaan filter udara, Pengadaan u-trap",,,,,,,
340,,L4,J. BIOLETTI NO.2,DAIKIN,DDB 60 BW,FCU,,,,,,,,,,
341,,L4,J. BIOLETTI NO.3,YORK,SBH 60 DW,FCU,,Air Venting,Pengadaan filter udara,,,,,,,
342,,P2,MASJID NO. 3,YORK,YCW 1400,FCU,,Water mur tidak ada,,,,,,,,
343,,P2,MASJID NO.4,DAIKIN,FWW 1800,FCU,,Water mur tidak ada,,,,,,,,
344,,P2,MASJID NO.8,YORK,YCW 1400,FCU,,Water mur tidak ada,,,,,,,,
345,,P2,MASJID NO.9,DAIKIN,FWW 1800,FCU,,Water mur tidak ada,,,,,,,,
346,,P2,CORD LIFT 3/4,,,FCU,,Unit tidak dilakukan service karena ada kebocoran pada pipa uben,,,,,,,,
347,,P2,ESCALATOR BARAT NO.1,TRANE,HCCA 18,FCU,,"Bak drain keropos/retak dekat nozzle, U-trap tidak ada, water mur tidak ada","Penggantian bak drain yang keropos, pengadaan filter udara, pengadaan u-trap, pengadaan water mur.",,,,,,,
348,,P2,ESCALATOR BARAT NO.2,TRANE,HCCA 18,FCU,,"Bak drain keropos, U-trap tidak ada, Water mur tidak ada, akses terlalu sempit.","Pengadaan filter udara, pengadaan u-trap, pengadaan water mur",,,,,,,
349,,P3,CORD LIFT 3/4,TRANE,HCCA14,FCU,,,,,,,,,,
350,,P3,ESCALATOR TIMUR,YORK ,YSB 54,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
351,30 Maret 2026,L4,SAMWON GARDEN NO.1,YORK ,MAC 60 DW,FCU,,water mur tidak ada,,,,,,,,
352,,L4,SAMWON GARDEN NO.2,TRANE,HCCA 18,FCU,,water mur tidak ada,,,,,,,,
353,,L4,SAMWON GARDEN NO.3,TRANE,HCCA 24,FCU,,,,,,,,,,
354,,L4,SAMWON GARDEN NO.4,DAIKIN,DDB 75 BW,FCU,,Tidak ada water mur,,,,,,,,
355,,L4,GYUKAKU NO.1,YORK,125 DW,FCU,,,,,,,,,,
356,,L4,GYUKAKU NO.2,TRANE,HCCA 24,FCU,,,,,,,,,,
357,,L4,GYUKAKU NO.3,TRANE,HCCA 24,FCU,,,,,,,,,,
358,,L3,TOILET KARYAWAN NO.1,TRANE,HCCA 10,FCU,,"Unit tidak di lakukan service, dikarenakan ada kebocoran pada pipa chiler, sementara valve ditutup",,,,,,,,
359,,L3,TOILET KARYAWAN NO.2,TRANE,HCCA 10,FCU,,"Filter udara tidak ada, water mur tidak ada",,,,,,,,
360,,L3,TOILET KARYAWAN NO.3,TRANE,HCCA 10,FCU,,"Filter udara tidak ada, water mur tidak ada, kondisi evap sebagian sudah lemah",,,,,,,,
361,,P2,MEISO,ITU,1200,FCU,,"U-tarp tidak ada, watermur tidak ada, pipa chiler jenuh",,,,,,,,
362,,P3,R.STP,YORK,SBH 75 DW,FCU,,unit tidak dilakukan service dikarenakan sudah lama tidak di aktifkan dan valve di tutup,,,,,,,,
363,,P1,ESCALATOR TIMUR NO.1,AICOOL,FC 24,FCU,,"Tidak ada watermur, tidak ada fainding",,,,,,,,
364,,P1,ESCALATOR TIMUR NO.2,AICOOL,FC 24,FCU,,Tidak ada watermur,,,,,,,,
365,,P1,MEISO,DAIKIN,DDB 50 BW,FCU,,,,,,,,,,
366,,P3,R. MESIN LIFT 15/16 ,TRANE,HCCA 18,FCU,,Bak drain korosi,,,,,,,,
367,31 Maret 2026,P2,MUSHOLLA PRIA NO.1,AICOOL,FC 24,FCU,,unit tidak dilakukan service dikarenakan unit tidak di aktifkan lagi,,,,,,,,
368,,P2,MUSHOLLA PRIA NO.2,AICOOL,FC 24,FCU,,unit tidak dilakukan service dikarenakan unit tidak di aktifkan lagi,,,,,,,,
369,,P2,MUSHOLLA PRIA NO.3,AICOOL,FC 24,FCU,,unit tidak dilakukan service dikarenakan unit tidak di aktifkan lagi,,,,,,,,
370,,P2,MUSHOLLA PRIA NO.4,AICOOL,FC 24,FCU,,unit tidak dilakukan service dikarenakan unit tidak di aktifkan lagi,,,,,,,,
371,,P3,MUSHOLLA WANITA NO.1,AICOOL,FC 24,FCU,,unit sudah lama tidak di fungsikan,,,,,,,,
372,,P3,MUSHOLLA WANITA NO.2,AICOOL,FC 24,FCU,,unit sudah lama tidak di fungsikan,,,,,,,,
373,,P3,MUSHOLLA WANITA NO.3,AICOOL,FC 24,FCU,,unit sudah lama tidak di fungsikan,,,,,,,,
374,,P3,MUSHOLLA WANITA NO.4,AICOOL,FC 24,FCU,,unit sudah lama tidak di fungsikan,,,,,,,,
375,,P2,TRASH ROOM NO.1,TRANE,HFCA 12,FCU,,Bak drain korosi,,,,,,,,
376,,P2,TRASH ROOM NO.2,TRANE,HFCA 12,FCU,,Bak drain korosi dan tidak ada name plate,,,,,,,,
377,,P3,R. MESIN LIFT 3/4,ITU,AA 404 D53,FCU,,,,,,,,,,
378,,P5,LOBBY LIFT CP,DAIKIN,DDB 75 BW,FCU,,"Watermur dan airventing tidak ada, unit AC hanya 1 yang terpasang, 1 motor lagi tidak ada hanya ada fan blower",Pengadaan motor yang 1 lagi,,,,,,,
379,,L3,TOILET N,DAIKIN,SB 50  BW,FCU,,Watermur tidak ada dan tidak terpasang bak ducting return,,,,,,,,
380,,L3,CROWN ,TRANE,HCCA 18Bak ,FCU,,drain keropos akses buka bak terlalu sempit dan pipa line drain kurang elevasi dan filter udara tidak pas dengan ukuran unit ,"Perbaikan pipa line drain yang kurang elevasi dan pergantian bak drain, pergantian filter udara",,,,,,,
381,,P2,BAWAH TANGGA,DAIKIN,DDB 100 BW,FCU,,,,,,,,,,
382,2April 2026,LB,BBC MONEY CHANGER,TRANE,HCCA 24,FCU,,,,,,,,,,
383,1April 2026,LB,KOOMA,MCQUAY,MCW 1200,FCU,,nampan bak drain tidak bisa di buka dikarnakan akses sempit,,,,,,,,
384,1April 2026,LB,KOOMA,YORK,YCW 1200,FCU,,,,,,,,,,
385,1April 2026,LB,MAISON D'AURA 001,MCQUAY,MCC 50,FCU,,,,,,,,,,
386,1April 2026,LB,MAISON D'AURA 002,MCQUAY,MCC 50,FCU,,,,,,,,,,
387,1April 2026,LB,MAISON D'AURA 003,ITU,1200,FCU,,,,,,,,,,
388,1April 2026,LB,MAISON D'AURA 004,TRANE,HCCA 14,FCU,,,,,,,,,,
389,1April 2026,LB,IKKUDO ICHI 001,ITU,1400,FCU,,,,,,,,,,
390,1April 2026,LB,IKKUDO ICHI 002,ITU,1400,FCU,,,,,,,,,,
391,1April 2026,LB,IKKUDO ICHI 003,ITU,1400,FCU,,,,,,,,,,
392,1April 2026,LB,BAKERMAN 001,DAIKIN,FWW 1800,FCU,,,,,,,,,,
393,1April 2026,LB,BAKERMAN 002,DAIKIN,FWW 1800,FCU,,,,,,,,,,
394,1April 2026,LB,BAKERMAN 003,DAIKIN,FWW 1800,FCU,,,,,,,,,,
395,1April 2026,LB,BAKERMAN 004,DAIKIN,FWW 1800,FCU,,,,,,,,,,
396,1April 2026,LB,BAKERMAN 005,DAIKIN,FWW 1800,FCU,,,,,,,,,,
397,1April 2026,LB,BAKERMAN 006,DAIKIN,FWW 1800,FCU,,,,,,,,,,
398,1April 2026,LB,BAKERMAN 007,DAIKIN,FWW 1800,FCU,,,,,,,,,,
399,3April 2026,LB,NATURAL FARM,YORK,YCW 1000,FCU,,Kondisi evap sudah rebah,,,,,,,,
400,02 April 2026,LB,PERIPLUS 001,TRANE,HFCA 12,FCU,,,,,,,,,,
401,02 April 2026,LB,PERIPLUS 002,YORK,YBFC-14,FCU,,,,,,,,,,
402,02 April 2026,LB,PASTRI ELLA,TRANE,HFCA 12,FCU,,,,,,,,,,
403,02 April 2026,LB,THE BODY SHOP,YORK,YBFC14,FCU,,"frame filter udara tidak bisa di buka di karena kan terhalang dinding dan terhalang bok duct ting , filter hanya di fakume dan kurang maksimal di karenakan  tidak ada  caltwolk di area dekat unit jika di paksa kan takut ada insident retak ceiling. ",pengadaan caltwolk supaya pemakuman filter bisa maksimal,,,,,,,
404,10 April 2026,LB,%ARABICA,TRANE,HCCA 10,FCU,,,,,,,,,,
405,11 April 2026,LB,STARBUCKS 001,MCQUAY,MCC 50,FCU,,,,,,,,,,
406,11 April 2026,LB,STARBUCKS 002,DAIKIN,DDB 100 BW,FCU,,body unit sudah kropos,,,,,,,,
407,11 April 2026,LB,STARBUCKS 003,DAIKIN,DDB 60 BW,FCU,,tidak bisa di lakukan service di karenakan akses sempit,,,,,,,,
408,11 April 2026,LB,STARBUCKS 004,DAIKIN,FWW 1800,FCU,,tidak bisa di lakukan service di karenakan akses sempit,,,,,,,,
409,11 April 2026,LB,STARBUCKS 005,MCQUAY,MCC 60,FCU,,tidak bisa dilakukan buka nampan bak drain dikarnakan terlalu mepet sm flapon,,,,,,,,
410,11 April 2026,LB,STARBUCKS 006,YORK,SBH 50 DW,FCU,,tidak bisa dilakukan buka nampan bak drain dikarnakan akses terlau mepet sama flapon,,,,,,,,
411,02 April 2026,LB,FLOR 001,MCQUAY,MCC 30,FCU,,,,,,,,,,
412,02 April 2026,LB,FLOR 002,MCQUAY,MCC 60,FCU,,,,,,,,,,
413,02 April 2026,LB,KITCHENETTE 001,MCQUAY,MCC 50,FCU,,"body unit keropos, U-trap tidak ada dan tidak ada airventing",,,,,,,,
414,02 April 2026,LB,KITCHENETTE 002,MCQUAY,MCC 60,FCU,,,,,,,,,,
415,02 April 2026,LB,KITCHENETTE 003,MCQUAY,MDB 75,FCU,,,,,,,,,,
416,02 April 2026,LB,KITCHENETTE 004,YORK,YSB 60 DW,FCU,,,,,,,,,,
417,02 April 2026,LB,SAMSUNG,MCQUAY,MCC 50,FCU,,,,,,,,,,
418,02 April 2026,LB,ECOVACS & TINECO,MCQUAY,MCC 50,FCU,,,,,,,,,,
419,02 April 2026,LB,YVES ROCHER,ITU,1200,FCU,,"sebelum service kondisi mainhol sudah kotor terdpat noda hitam dan retak, akses buka bak terhalang pipa splingker
Dan evap sebagian sudah ada yg rebah",,,,,,,,
420,07 April 2026,LB,CHAGEE 001,TRANE,HCCA 24,FCU,,,,,,,,,,
421,07 April 2026,LB,CHAGEE 002,TRANE,HCCA 18,FCU,,,,,,,,,,
422,07 April 2026,LB,CHAGEE 003,DAIKIN,FWW 1800,FCU,,,,,,,,,,
423,07 April 2026,LB,CHAGEE 004,DAIKIN,FWW 1800,FCU,,,,,,,,,,
424,,LB,KINTARO SUSHI 001,TRANE,HCCA 24,FCU,,,,,,,,,,
425,,LB,KINTARO SUSHI 002,TRANE,HCCA 24,FCU,,,,,,,,,,
426,,LB,KINTARO SUSHI 003,TRANE,HCCA 24,FCU,,,,,,,,,,
427,,LB,KINTARO SUSHI 004,TRANE,HCCA 24,FCU,,,,,,,,,,
428,2-Apr-26,LB,KOPI LUWAK 001,TRANE,HCCA 24,FCU,,,,,,,,,,
429,2-Apr-26,LB,KOPI LUWAK 002,TRANE,HCCA 24,FCU,,,,,,,,,,
430,6-Apr-26,LB,HAKATA 001,TRANE,HCCA 24,FCU,,,,,,,,,,
