Source: https://docs.google.com/spreadsheets/d/1BvEiTJVE7np-FOoj2qPwpvIGKJneQHX3VoA6LgKcM8k/export?format=csv

---

Control+A,,,,,,,,,,,,,,,,,,A:Z,,,,,,,
,No,Tanggal,Jam Complaint,Lantai,Jenis Unit,Tag No.,Brand,Model,Nama Teknisi,Nama Supervisor,Kategori ,Root Cause Analysis,Corrective Action,Rekomendasi,Last PM,Status,,Tenant / Area,,,,,,,
,101,23 Maret 2026,,L5,FCU,,,,Wahyudi,,Ruangan Panas,Posisi unit off,"Telah dilakukan pengecekan thermostat dan panel MCB AC. Thermostat tidak terdapat power,indikasi trip pada panel MCB Unit AC FCU.",Akan dilakukan pengecekan kembali pada jam 21.30,,,,Seirock ya,,,,,,,
,102,23 Maret 2026,,,,,,,,,,,,,,,,LV,,,,,,,
,103,23 Maret 2026,,L3,,,,,,,,,,,,,,Joe and Dough,,,,,,,
,104,24 Maret 2026,,L2,AHU,,,,Sarifuddin,,AC Mati,Pergantian Motor fan,"Telah dilakukan penggantian motor fan pada unit AHU dan pemasangan kontaktor. Pekerjaan tinggal menghubungkan power, tertunda karena power belum konek.",Penyambungan power menunggu konfirmasi BM,,Closed,,Paul Bakery,,,,,,,
,105,24 Maret 2026,,L3,FCU,,,,Deri,,Non AC,Kebocoran bukan berasal dari unit AC melainkan dari sparing pipa chiller,,,,,,Elcholtz,,,,,,,
,106,25 Maret 2026,,L2,FCU,,,,Alsmith,,Non AC,AC kurang dingin karena unit mati.,"Telah dilakukan setting thermostat dan pengecekan temperature serta diffuser. Area smoking depan temp: 23.6 diff: 18.00, Area tengah temp: 23.5 diff: 18.2, Area depan temp: 23.6 diff: 18.3,  Area belakang temp: 24.8 diff: 20.4. Untuk saat ini unit sudah kembali running",,,,,Paul Bakery,,,,,,,
,107,25 Maret 2026,,L3,FCU,,,,Kamaludin,,Non AC,,"Telah di lakukan pengecekan ac panas dengan hasil ukur temperatur, dengan hasil sbb : Area depan diff: 18.2 room: 22.1, Area belakang diff: 18.3 room: 21.9, Area kanan diff: 16.5 room: 21.9, Area kiri diff: 16.6 room: 22.0. Tenanat minta dilakukan pengecekan menyeluruh ke atas unit agar dingin dengan maksimal",,,,,Jo & Dough ,,,,,,,
,108,25 Maret 2026,,L1,FCU,,,,kamaludin,,AC Noise,,Telah dilakukan pengecekan AC noise disebabkan bearing motor yang sudah aus sehingga AC jadi noise.,Penggantian bearing yang sudah aus model: MCQUAY MCC40,,,,Faure Le Page,,,,,,,
,109,25 Maret 2026,,L3,FCU,,,,Wahyudi,,Non AC,"Komplain karena kebocoran, setelah dilakukan pengecekan tidak ada kebocoran dari AC, ada komplain dari pihak tenant perihal manhole",,,25 Maret 2026,,,Yamaha Music,,,,,,,
,110,25 Maret 2026,,L6,FCU,,,,Wahyudi,,Ruangan Panas,,Telah dilakukan pengecekan untuk type MCQUAY MDB75. Terpaasang 2 fan motor blower dan untuk 1 fan motor short body saat ini hanya 1 fan motor blower yang beroperasional.,Pnggantian motor type MCQUAY MDB75,,,,Cord XX1,,,,,,,
,111,25 Maret 2026,,L4,AHU,,,,Sarifuddin,,AC Noise,AC noise karena V Belt kendur,,Penggantian V Belt,,Closed,,P-AHU L4-01,,,,,,,
,112,25 Maret 2026,,L4,AHU,,,,Sarifuddin,,AC Noise,AC noise karena V Belt kendur,,Penggantian V Belt,,Closed,,P-AHU L4-02,,,,,,,
,113,25 Maret 2026,,L4,AHU,,,,Sarifuddin,,Ruangan Panas,Ruangan panas disebabkan karena unit AHU off (AHU Gantung L4-05),"Telah dilakukan pengecekan pada AHU yang menyuplai ruangan tersebut, ditemukan AHU tidak running, diagnosa dari tim sebelumnya ada kerusakan pada motor fan.",Penggantian motor fan,,Pending,,Corridor Batik Keris,,,,,,,
,114,25 Maret 2026,,L6,AHU,Unit 3,,,Sarifuddin,,AC Noise,AC noise karena V Belt kendur,,Penggantian V Belt (A 850 LW),,,,Ganara,,,,,,,
6,115,25 Maret 2026,,L6,AHU,Unit 9,,,Sarifuddin,,AC Noise,V Belt putus dan terdapat kebocoran pada evaporator,,Penggantian V Belt dan perbaikan pada evaporator.,,Pending,,Ganara,,,,,,,
,116,25 Maret 2026,,P3,SPLIT,,,,Sarifuddin,,AC Mati,Unit msti/hidup kemungkinan ada sumbatan pada kapiler.,,Penggantian kapiler outdoor.,13 Maret 2026,Pending,,Locker GHP Pria,,,,,,,
7,117,26 Maret 2026,,LB,FCU,,,,,,AC Mati,,telah dilakukan pengecekan unit AC FCU running untuk flow kecil dan filter udara kotor.,Tenant minta dischedule kan sebelum jam operasional,,,,Tous Les Jours,,,,,,,
8,118,26 Maret 2026,,L5,FCU,,,,,,AC Mati,,Pengecekan tidak bisa dilakukan karena tenant sedang ramai,,,,Cross Check,Sushitei,,,,,,,
,119,26 Maret 2026,,L1,FCU,,,,Deri,,Ruangan Panas,,,,,,,Osteria Gia,,,,,,,
,120,26 Maret 2026,,L5,FCU,,,,Deri,,Non AC,Kebocoran berasal dari kondensasi pipa chiller,,,,,,Barberia,,,,,,,
,121,26 Maret 2026,,L3,AHU,,,,Sarifuddin,,AC Noise,"Tindak lanjut temuan PM, diketahui V Belt telah kendur",Telah dilakukan penggantian V Belt pada unit dengan V Belt baru (1800 LW),,25 Maret 2026,Closed,,Miniapolis (AHU L3-07),,,,,,,

,122,28 Maret 2026,,L1,FCU,,,,Deri,,Ruangan Panas,Temperature udara air fresh tinggi.,"Telah dilakukan pengecekan temperature area kitchen dengan hasil sbb: diff: 19.5, 21.5, 31.9, 17.619.8, 19.4 room: 29.8, 29.7, 30.1, 31.6. ",Schedule pengecekan ke unit dan flow tgl 29/03/2026 setelah PM pagi.,,,,Cork & Screw,,,,,,,
,123,28 Maret 2026,,L5,FCU,,,,,,AC Mati,"AC Mati karena motor terbakar dan blok thermin rusak, untuk sementara unit off.",,Penggantian motor FCU dan blok thermin.,,,,Sushitei,,,,,,,
,124,28 Maret 2026,,L3,FCU,,,,,,AC Mati,,,Schedule pengecekan tgl 29/03/2026 jam 11.00,,,,Ibox,,,,,,,
,125,28 Maret 2026,,L1,FCU,,,,Deri,,Ruangan Panas,AC kurang dingin karena ducting supply dan flexible ada yang bolong dan kondisi unit kotor,Telah dilakukan perbaikan pada ducting supply dan flexible yang bolong.,Dilakukan service.,,Done,,Shabu Shabu House,,,,,,,
,126,28 Maret 2026,,P2,FCU,,,,Deri,,Kebocoran,AC bocor karena air terbawa blower menyebabkan air masuk ke ducting.,Telah dilakukan penggantian metalizing.,,,Done,,Kantina,,,,,,,
,127,28 Maret 2026,,L4,AHU,,York,YDM 40 x 60,Sarifuddin,,Ruangan Panas,"Ruangan panas karena hembusan udara tidak maksimal, disebabkan V Belt kendur, diketahui pula dudukan mesin fan kendur sehingga posisi mesin berubah.",Telah dilakukan pengencangan pada dudukan mesin dan penyetelan ulang V Belt,,24 Maret 2026,Closed,,Urban Quarter (AHU P4-05),,,,,,,
,128,28 Maret 2026,,P2,SPLIT,,Daikin,,Andri,,AC Mati,"Pengukuran tekanan hanya 70 psi, tapi ampere 8,3. Saat diisi freon ampere naik di atas 9 walau tekanan ideal belum tercapai. Tidak ditemukan kebocoran.",Sudah dilakukan penambahan freon sampai 130 psi.,Perlu penggantian kompresor,8 Maret 2026,Pending,,Secure Parking (R. Control/CCTV),,,,,,,
,129,29 Maret 2026,,L3,FCU,,,,Alsmitt,,Non AC,"MCB Trip. Hasil pengecekan 1 motor fan short body, hanya 1 motor yang berfungsi",Pnggantian motor fan model: MCQUAY MDB75,,,Done,,Ibox,,,,,,,
9,130,29 Maret 2026,,L3,FCU,,,,Alsmitt,,Non AC,Kebocoran berasal dari ducting supply AHU bukan dari unit FCU.,,,,Done,Cross Check,Miniapolis,,,,,,,
,131,29 Maret 2026,,L3,FCU,,,,Alsmitt,,Non AC,"Kebocoran berasal dari kondensasi pipa chiller, Telah dilakukan pemvaccuman hingga kering.",Perbaikan isolasi pipa chiller,,,Done,,Prestiqe,,,,,,,
,132,29 Maret 2026,,L3,FCU,,,,Asep,,Non AC,Belum bisa dilakukan pengecekan rembesan di dinding karena akses menuju ke titik rembesan terhalang pipa dan ducting. Indikasi rembesan dari perbatasan dinding tenant sebelah (eks gyukaku) yang masih dalam pengerjaan fit out,,Akan dikoordinasi dengan  team BM untuk pengecekandi are fit out yang saat ini sedang berjalan,,,,Benihana,,,,,,,
,133,29 Maret 2026,,LB,FCU,,,,Asep,,Ruangan Panas,Telah dilakukan perubahan pada pengaturan termostat,,,,done,,Opi,,,,,,,
,134,29 Maret 2026,,P2,SPLIT,,Panasonic,,Sarifuddin,,Kebocoran,Jalur drain sudah penuh tersumbat kotoran dan lendir,Pemakuman pada jalur drainase,,7 Maret 2026,Closed,,Locker CSO Pria,,,,,,,
,135,29 Maret 2026,,L3,AHU,,York,YDM 70 x 80,Sarifuddin,,AC Mati,"Ducting supply kemungkinan sudah kotor, setelah diservis hembusan udara dari AHU menjadi lebih kuat mengakibatkan kotoran rontok dan jatuh ke tenant.",,Pembersihan ducting supply dan grill,25 Maret 2026,,,Mother Care (AHU P3-09),,,,,,,
,136,29 Maret 2026,,L3,AHU,,York,YDM 60 x 70,Ayub,,Non AC,"Pada ducting supply glaswool sudah rusak dan dilepas dari ducting, terjadi kondensasi pada ducting",Sudah dilakukan pemakuman pada ducting dan titik kondensasi.,Pemasangan kembali glasswool dan insulator pada ducting,25 Maret 2026,Closed,,Miniapolis,,,,,,,
,137,30 Maret 2026,,L4,AHU,,Tranee,CLCP 040,Sarifuddin,,Ruangan Panas,"V Belt dalam kondisi kendur, namun kondisi V Belt masih layak.",Penyetelan ulang V Belt (dikencangkan kembali),,28 Maret 2026,Closed,,Ruang Trafo,,,,,,,
,138,30 Maret 2025,,P2,SPLIT,,Daikin,,Sarifuddin,,Ruangan Panas,"Pengecekan tekanan dan ampere menunjukkan hasil yang bagus. Flow udara lemah, dugaan evaporator bagian dalam kotor.",,Pembersihan Evaporator keseluruhan dengan melepasnya dari indoor,10 Maret 2026,Done,,Office GHP,,,,,,,

,139,30 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,Pengecekan AC panas,"Telah dilakukan pengecekan AC panas dengan hasil ukur temperature sbb Area depan diff: 18.1 room : 23.6, Area belakang diff: 21.4 room: 23.6, Area kanan diff: 17.8 room: 23.8, Area kiri diff: 18.1 room: 23.6, CHWS: 14.1 CHWR: 17.1. Filter udara sudah ngeblok. ",Rekomendasi: segera dilakukan penggantian filter udara,,Done,,Chloe,,,,,,,
,140,30 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,Pengecekan AC panas karena thermostat yang tidak on.,"Pengecekan AC panas karena thermostat yang tidak on, sudah di on kan kembali dan unit sudah running.",sudah di on kan kembali dan unit sudah running.,,Done,,Burger Lobster,,,,,,,
,141,30 Maret 2026,,L1,,,,,,,,,,,,,,Pellegrini's,,,,,,,
,142,31 Maret 2026,,P2,SPLIT,,Daikin,RC50NV14,Sarifuddin,,Ruangan Panas,"Pengecekan tekanan dan ampere menunjukkan hasil yang bagus. Flow udara lemah, dugaan evaporator bagian dalam kotor.",Telah dilakukan pembongkaran dan overhaul evaporator unit.,Ruangan jangan digunakan untuk merokok.,10 Maret 2026,Done,,Office GHP,,,,,,,
,143,31 Maret 2026,22.00,L5,FCU,,MC QUAY,MDB 75,,,AC Mati,Hasil pengecekan unit AC Mati disebabkan karena Fan Motor FCU merk MC Quay MDB 75 terbakar,"dilakukan pergantian motor, pada saat test runnig beberapa menit motor keluar asap bau angus/kebakar",Penggantin Fan Motor AC FCU merk MC Quay MDB 75,,Pending,,SUSHI - TEI,,,,,,,
,144,01 April 2026,11.00,LB ,FCU,,TRANE,HFCA 12,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, melainkan dari kondensasi Pipa Chiller",Di lakukan. pengecekan sumber kebocoran dan sementara di balut dengan metalizing,,,Done,,PERIPLUS,,,,,,,
10,145,01 April 2026,11.50,L1,FCU,,YORK,SBH 100 DW,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, melainkan dari Pipa Washtafel milik Tenant",Konfirmasi pihak BM,,,Done,,FORE,,,,,,,
,146,01 April 2026,14.15,L5,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : Lorong Depan  24,0 (Diff Temp 19,0), Lorong Belakang 24,8 (Diff Temp 20,9), Kiri depan 25,2 (Diff Temp 22,5), R. Rokok kiri 24,1 (Diff Temp 18,4), R. Rokok kanan 24,3 (Diff Temp 17,8) ",Dilakukan pengecekan Temperature,,,Done,,ISHIGAMAYA,,,,,,,
,148,01 April 2026,14.43,L3,FCU,,TRANE,HCCA 18,,,Kebocoran,"Hasil pengecekan sumber kebooran berasal dari Line Drain yang tidak Elevasi, terdapat pipa hollow yang mengganjal di tengah line drain",saat ini pipa hollow yang mengganjal sudah di lepas akan tetapi jalur pipa Line DRain ke arah  tenant Benteng pipa drain naik kembali ,Jalur Pipa Line Drain yang menuju ke arah Tenant Benteng harus ikut diturunkan pak untuk mengejar elevasi pipa line drain,,Done,,CROWN,,,,,,,
,149,01 April 2026,16.05,L2,FCU,,DAIKIN,DDB 50 BW,,,AC Noise,"Hasil pengecekan sumber Noise berasal dari Blower unit ac, Spi as blower kendor sehingga terjadi gesekan antara keong dan Blower ","Perbaikan dengan mengencangkan Spi As Blower, kondisi saat ini unit AC sudah normal kembali",,,Done,,BALLY,,,,,,,
,150,02 April 2026,15.03,LB,FCU,,,,,,Kebocoran,"Hasil pengecekan Terdapat genangan air dibwah unit, kemungkinan bekas air lama yg tidak tervacum","kondisi air sudah di vacum, karena schedule pagi tidak diservice karena akses sempit",Pembuatan mainholle baru,,Done,,SNACK ZONE,,,,,,,
,151,02 April 2026,15.29,L3,FCU,,TRANE,HCCA 24,,,Ruangan Panas,"Hasil pengecekan Valve Motorized menutup Room Temp : R. Depan 24,8 (Diff Temp 22,7), R. Tengah 24,7 (Diff Temp 22,9) dan R. Belakang 24,6 (Diff Temp 22,2)","Di lakukan pengecekan pada unit AC, Room Temp : R. Depan 22,7 (Diff Temp 17,7), R. Tengah 22,7 (Diff Temp 18,0) dan R. Belakang 22,6 (Diff Temp 17,3)",Pembukaan Valve Motorized ,,Done,,STEFANO RICCI,,,,,,,
,152,02 April 2026,16.00,LB,FCU,,YORK,YCW 1000,,,Ruangan Panas,"Hasil pengecekan ac panas di sebabkan unit kotor dan kondisi evap sebagian rebah, Room Temp : 23,6 (Diff Temp 16,7)",Di lakukan pengecekan pada unit AC,Dijadwalkan PM AC Tgl. 03 April 26,,Done,,NATURAL FARM,,,,,,,
,153,02 April 2026,17.46,L1,FCU,,YORK,SBH 125 DW,,,Ruangan Panas,"Hasil pengecekan Room Temp : - R. Depan 24,1 (Diff Temp 18,8), - R. Tengah 24,3 (Diff Temp 16,2), - R. Belakang 23,8 (Diff Temp 17,2 dan R. Minuman 18,1 (Diff Temp 10,3)","tidak bisa dilakukan pengecekan ke unit,dikarenakan lagi banyak custumor..sudah kordinasi dengan pak deniah,nanti di kabarin kalau kondisi sudah kosong",,,Pending,,CORK & SCREW,,,,,,,

,154,02 April 2026,"19,49",L5,FCU,,MC QUAY,MDB 75,,,AC Mati,Hasil pengecekan unit AC Mati disebabkan karena Fan Motor FCU merk MC Quay MDB 75 terbakar,Diakukan pengecekan Unit AC FCU,Penggantin Fan Motor AC FCU merk MC Quay MDB 75,,Pending,,SUSHI - TEI,,,,,,,
11,155,03 April 2026,12.35,L3,FCU,,,,,,AC Noise,"Hasil pengecekan sumber Noise berasal dari bekas pipa instalasi kabel yang menempel pada Ducting AHU, sehingga menimbulkan getaran","Bekas pipa Instalasi kabel dipindahkan dari atas Ducting AHU, kondisi saat ini Noise sudah hilang",,,Done,,YAMAHA MUSIC,,,,,,,
,156,03 April 2026,19.26,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : Pintu masuk 21,5 (Diff Temp 15,9), R. Kiri 20,9 (Diff Temp 15,2) dan R. Makan 20,8 (Diff Temp 12,8)",Dilakukan pengecekanTemperature,,,Done,,BURGER LOBSTER,,,,,,,
,157,03 April 2026,19.40,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : R. Depan 22,9 (Diff Temp 18,2), R. Belakang 22,8 (Diff Temp 18,2)",Dilakukan pengecekanTemperature,,,Done,,OMEGA,,,,,,,
,158,03 April 2026,19.42,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : R. Kiri 22,0 (Diff Temp 18,1), R. Belakang 22,0 (Diff Temp 18,6)",Dilakukan pengecekanTemperature,,,Done,,HUBLOT,,,,,,,
,159,04 April 2026,10.24,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan ac panas di krnakan unit kotor..check tempratur ruangan
        area depan..diffusser: 21,1
              Ruangan: 23,3
Tengah..diffusser: 16,6
              Ruangan : 23,3
Belakang..diffusser: 17,2
              Ruangan: 23,3",Dilakukan pengecekanTemperature,Dijadwalkan PM AC Tgl. 05 April 26,,Done,,NESPRESSO,,,,,,,
,160,04 April 2026,10.38,L3,FCU,,,,,,AC Noise,Hasil pengecekan AC Noise di sebabkan setingan blower terlalu mepet sehingga mentok ke keong mengakibatkan bunyi,sudah Di lakukan. perbaikan dengan seting ulang blower..untuk saat ini kondisi blower sudah tidak bunyi lagi,,,Done,,D'ORSAY,,,,,,,
,161,04 April 2026,12.16,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Tengah 25,8 (Diff Temp 22,4), R. Bar 26,6 (Diff Temp 22,8), kondisi Evap kotor",Dilakukan pengecekanTemperature,Dijadwalkan PM AC,,Pending,,OSTERIA GEA,,,,,,,
,162,04 April 2026,12.27,L3,FCU,,,,,,Kebocoran,AC bocor di sebabkan tersumbat lendir dan bak drain kurang elepasi,tindakan telah dilakukan pemakuman pada titik kebocoran dan jalur Dren dan memperbaikin bak drain yg kurang elepasi,,,Done,,CROWN,,,,,,,
13,163,04 April 2026,13.35,L4,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : 26,5 (Diff Temp 17,5), kondisi Evap kotor",Dilakukan pengecekanTemperature,Dijadwalkan PM AC Tgl. 06 April 26,,Done,,PRIMA FIT,,,,,,,
,164,04 April 2026,18.00,L1,FCU,,,,,,Ruangan Panas,Hasil pengecekan kebocoran berasal dari Bak Drain penampung air kondensasi AC yang sudah keropos,Dilakukan pengecekan pada sumber kebocoran,Penggantian Bak Drain penampung air kondensasi AC,,Pending,,JIMMY CHOO,,,,,,,
,165,05 April 2026,10.21,L2,FCU,,,,,,Ruangan Panas,"sebelum pengeckan ke unit  area smocking,poisisi thermostat di off,sudah di on kembali dan pengecakan ke unit hasil pengecakan kondisi evap kotor,
        chek temperatur ruangan..area kanan.
Diffusser:18,4
Ruanga.  : 23,7
               area tengah
Diffusser: 17,9
Ruangn.  : 23,9
                area smocking
Diffusser: 16,3
Ruangan : 23,6",Dilakukan pengecekan Temperature,"Dijadwalkan PM AC di R, Merokok",,Pending,,PAUL BAKERY,,,,,,,
14,166,05 April 2026,11.24,L2,FCU,,,,,,Kebocoran,"Hasil pengecekan kebocoran berasal dari Ducting Supply, Evap bagian bawah sudah rebah sehingga air kondensasi terhisap Blower yang berakibat kebocoran dari ducting",Dilakukan pengecekan pada sumber kebocoran,Dijadwalkan PM AC,,Pending,,DYSON,,,,,,,
15,167,05 April 2026,11.36,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : R. Belakang 23,2 (Diff Temp 17,2), R. Kanan 23,2 (Diff Temp 14,8), R. Kiri 23,5 (Diff Temp 16,4) dan R. VIP 23,5 (Diff Temp 15,2)",Dilakukan pengecekan Temperature,,,Done,,MUSIQUE,,,,,,,
,168,05 April 2026,11.49,L1,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC FCU, melainkan dari unit AC Split Wall milik Tenant",Konfirmasi BM,,,Done,,GODIVA,,,,,,,
,169,05 April 2026,13.27,L1,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : Bar 19,5 (Diff Temp 11,0), R. Depan 21,2 (Diff Temp 12,4), Kitchen 19,8 (Diff Temp 11,7) dan R. Tengah 22,8 (Diff Temp 17,9)",Dilakukan pengecekan Temperature,,,Done,,BISTRO BARON,,,,,,,

,170,05 April 2026,14.12,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 25,8 (Diff Temp 16,8), R. Tengah 25,3 (Diff Temp  16,6) dan R. Belakang 25,5 (Diff Temp 17,2)",Dilakukan pengecekan Temperature,,,Done,,RR CHOCOLATE,,,,,,,
,171,05 April 2026,14.31,L5,FCU,,,,,,Kebocoran,"kebocoran berasal dari sela"" Unit, dan penyebab kebocoran berasal dari lendir yang menumpuk di bak drain sehingga air kondensasi meluap dan masuk ke sela"" Unit ,",sudah di lakukan pengecekan dan pemakuman di area yg terkena ke bocoran dan di bak drain,,,Done,,MO - MO PARADISE,,,,,,,
,172,05 April 2026,16.35,L3,FCU,,,,,,Kebocoran,"kebocoran berasal dari sela"" Unit, dan penyebab kebocoran disebabkan jalur line drain tersumbat lendir,sehingga air tidak ngalir di nampan bak drain,dan jalur line drain kurang elevasi",sudah dilakukan pemakuman pada jalur pipa line drain tersebut,harus di lakukan rizit pada jalur line drain tersebut dan perbaikan elevasi jalur pipa drain,,Done,,CROWN,,,,,,,
,173,06 April 2026,10.33,L4,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : R. VIP I (22,5 (Diff Temp 19,4), R. VIP II (22,4 (Diff Temp 18,6) dan R. VIP III (22,6 (Diff Temp 18,3) ",Dilakukan pengecekan Temperature,,,Done,,SHU GUO YIN XIANG,,,,,,,
,174,07 April 2026,09.00,L1,FCU,,,,,,Ruangan Panas,"telah dilakukan cek,untuk thermostat speed no 1 tidak terkonek speed no 2 & 3 running normal",bantu turn on thermostat,,,Done,,OMEGA,,,,,,,
,175,07 April 2026,10.40,LB,FCU,,,,,,Ruangan Panas,hasil pengecekan AC bocor di karenakan air terbawa blower.di sebabkan evaporator kotor..dan Untuk thermostat 2 Unit di off kan ..karena jika. unit di onkan terjadi kebocoran .untuk cleaning akses sempit,Di lakukan pengecekan area lokasi,relokasi man holeuntuk akses cleaning agar maksimal,,Pending,,SNACK ZONE,,,,,,,
17,176,07 April 2026,20.30,L2,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari Unit AC, Melainkan dari saluran Pipa air kotor",Dilakukan pengecekan sumber kebocoran dan Konfirmasi BM,,,Done,,MASSIMO DUTI,,,,,,,
,177,08 April 2026,13.33,L4,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari Dak lantai atas (kondisi cuaca diuar sedang hujan deras)",Bantu Vacum dan Konfirmasi BM,,,Done,,ARRAY,,,,,,,
,178,08 April 2026,13.43,L3,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari tetesan kondensasi Pipa Chiller yang sudah jenuh",Bantu Vacum dan Konfirmasi BM,,,Done,,BENIHANA,,,,,,,
,179,08 April 2026,14.36,L2,FCU,,,,,,Ruangan Panas,hasil pengecekan ac mati di karena kan speed hanya di connect di speed no 1 sedangkan sebelum nya dipindah speed ke no 3,Kondisi saat ini speed sudah di pindahkan ke  no 1 lagi dan unit sudah runing kembali,,,Done,,DYPTIQUE,,,,,,,
,180,08 April 2026,15.46,L3,FCU,,,,,,Kebocoran,leaking area back office tenant crown karena air balik dari line drain AC yg tidak mengalir ke riser area tenant benteng dan line drain tersumbat,Dilakukan pengecekan pada sumber kebocoran dan bantu vacum line drain,pipa line drain AC fcu tenant crown perlu dibobok lalu di adjust di riser tenant benteng hingga mendapatkan elevasi,,Done,,CROWN,,,,,,,
,181,08 April 2026,15.51,L5,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari tetesan kondensasi Pipa Chiller ",Bantu Vacum dan Konfirmasi BM,,,Done,,BARBERIA,,,,,,,
,182,08 April 2026,18.06,LB ,FCU,,,,,,Kebocoran,"Sumber kebocoran belum diketahui dari mana asalnya, dikarenakan tidak ada akses untuk mengecek kebagian titik kebocoran tersebut",Dilakukan pengecekan pada sumber kebocoran,Bobok Ceilling di titik kebocoran,,Pending,,THE BODY SHOP,,,,,,,
,183,08 April 2026,19.13,L5,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. VIP kanan 23,9 (Diff Temp 15,4) R. VIP Kiri 23,8 (Diff Temp 20,7)",Dilakukan pengecekan Temperature,,,Done,,STEAK 21,,,,,,,
18,184,08 April 2026,19.45,L4,FCU,,,,,,Kebocoran,"setelah di cek,AC bocor disebabkan dari air yg terbawa blower dikarenakan supply kencang.",sudah dilakukan pemakuman pada titik kebocoran hingga kering,,,Done,,J BIOLETTI,,,,,,,
,185,09 April 2026,11.18,L1,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari tetesan kondensasi Pipa Chiller ",Bantu Vacum dan Konfirmasi BM,,,Done,,BALENCIAGA,,,,,,,

,186,09 April 2026,13.00,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp normal : R. Bar I (22,7 (Diff Temp 20,5), R. Bar II (23,2 (Diff Temp 21,6), R. Makan I (24,7 (Diff Temp 18,8) dan R. Makan 2 (24,7 (Diff Temp 18,4)",Dilakukan pengecekan Temperature,,,Done,,JOE & DOUGH,,,,,,,
,187,09 April 2026,15.45,L3,FCU,,,,,,Non AC,"Hasil pengecekan kebocoran bukan berasal dari unit AC, Melainkan dari rembesan sparing pipa air kotor",Bantu Vacum dan Konfirmasi BM,,,Done,,TOILET KARYAWAN,,,,,,,
,188,09 April 2026,18.15,L3,FCU,,,,,,Ruangan Panas,"Hasil pengecekan Room Temp : R. Depan 23,1 (Diff Temp 15,4), R. Tengah 23,0 (Diff Temp 18,0) dan R. Belakang 23,0 (Diff Temp 18,1)",pengecekan temperatur area,,,Done,,OAD KIDS,,,,,,,
,189,10 April 2026,10.04,L1,FCU,,,,,,AC Mati,hasil pengecekan ac mati di sebab kan dari modul nya yg bermasalah/trouble ,pengecekan ac mati  dan untuk sementara kabel koneckan di bypass,Penarikan kabel dan pergantian thermostat,,Pending,,SAINT LAURENT,,,,,,,
,190,10 April 2026,10.10,LB,FCU,,,,,,AC Mati,"keluhan tenant ac sempat mati dan nyala berulang sampai 5 kali dan sudah di cek thermostat kondisi normal dan suhu diffuser nya area depan : 17,3°c area tengah : 17,2°c area belakang : 17,3°c",pengecekan temperatur area,,,Done,,PANORAMA TOURS,,,,,,,
19,191,10 April 2026,14.55,L3,FCU,,,,,,Ruangan Panas,"hasil pengecekan ac panas kondisi saat ini unit runing dan untuk suhu saat ini dengan hasil ukur temperatur area depan diff :18,4°c room : 24,1°c area tengah diff : 18,2°c room : 24,1°c area belakang diff : 19,6°c room : 24,1°c area cord depan diff : 18,4°c room : 24,8°c area cord kiri diff : 17,9°c room : 24,6°c cord kanan diff : 18,0°c Room : 24,3°c",pengecekan temperatur area,,,Done,,JOE & DOUGH,,,,,,,
,192,10 April 2026,16.04,L3,FCU,,,,,,Kebocoran,Hasil pengecekan kebocoran berasal dari kondensasi Flexible Supply,Dilakukan pemakuman pada Flexible supply dan setting Thermostat,,,Done,,A THAM TAYLOR,,,,,,,
,193,11 April 2026,10.23,L4,FCU,,,,,,AC Noise,Hasil pengecekan sumber Noise berasal dari tutup return yang kurang rapat,Merapatkan kembali tutup return menggunakan metalizing,,,Done,,PRIMA FIT,,,,,,,
